カテゴリID	シリーズ名用(生産終了機種)	ｼﾘｰｽﾞ名用１ID	名称	シリーズ１（Discontinued Products）	ｼﾘｰｽﾞ１ID(en)	シリーズ2（Replacement Products）		ｼﾘｰｽﾞ１画像名	終了型式:Corresponding series	終了型式ID(en)	終了年月日Time ofdiscontinuation	代替型式:Replacement series	ｼﾘｰｽﾞ2画像名	enカタログリンク	終了機種カタログ : Discontinued models catalog	生産終了機種取扱説明書	取付互換：Mounting interchangeability	その他：Other	注意事項：Precautions	新旧比較詳細:Product comparison details PDF	リンク先	新ID(en)
A01	EX120/121/122/123/140 	EX120-SSL1-old-e	Serial Transmission System	EX120-SSL1/SSL2<br/>EX121-SSL1/SSL2<br/>EX122-SSL1/SSL2<br/>EX123-SSL1/SSL2<br/>EX140-SSL1/SSL2	EX120-SSL1-old1-e	-	1		EX120-SSL1/SSL2<br/>EX121-SSL1/SSL2<br/>EX122-SSL1/SSL2<br/>EX123-SSL1/SSL2<br/>EX140-SSL1/SSL2	EX120-SSL1-1-e	2018/5/1	-			EX120-180-old-e.pdf							
A01	EX500（GW unit）	EX500-GW-old-e	Serial Transmission System	EX500-GEN1<br/>(Includinng made-to-order products)	EX500-GW-old1-e	EX500-GEN2	1		EX500-GEN1<br/>(Includinng made-to-order products)	EX500-GW-1-e	2019/3/1	EX500-GEN2	EX500-GEN2.jpg				None					EX500-E
A01	EX250-SMJ2	EX250-SMJ2-old-e	Serial Transmission System / SI Units compatible with CC-Link	EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-old1-e	EX600-SMJ□<br/>EX260-SMJ□	1		EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-1-e	2019/7/1	EX600-SMJ□			EX250-old-e.pdf		None					EX600-E
		EX250-SMJ2-old-e			EX250-SMJ2-old1-e		2		EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-2-e	2019/7/1	EX260-SMJ□										EX260-EN
A01	SX3000/5000/7000	SX3000-old-e	5-Port Solenoid Valve 	"SX3000/5000/7000<br/>Flat cable<br/>Serial Transmission<br/>Sub-plate Single Unit<br/>SX3000/5000/7000<br/>Individual wiring<br/> Single Unit
"	SX3000-old1-e	SY3000/5000/7000<br/>Plug-in Type<br/>SY3000/5000/7000	1	SX-old.jpg	SX3000/5000/7000<br/>Flat cable<br/>Serial Transmission<br/>Sub-plate Single Unit	SX3000-1-e	2020/5/1	SY3000/5000/7000<br/>Plug-in Type	SY3000.jpg				None					SY-E
		SX3000-old-e					2		SX3000/5000/7000<br/>Individual wiring<br/> Single Unit	SX3000-2-e	2020/5/1	SY3000/5000/7000										SY-5-E
A01	VKF300	VKF300-old-e	3 Port Solenoid Valve/Direct Operated Poppet Type	VKF300	VKF300-old1-e	VK300	1	VKF300-old.jpg	VKF300	VKF300-1-e	2020/8/1	VK300	VK300.jpg		VKF300-old-e.pdf		None					VK-E
A01	SY3000/5000	SY3000-2-old-e	5-Port Solenoid Valve 	SS5Y3-45T□<br/>SS5Y3-45T1□<br/>SS5Y5-45T□<br/>SS5Y5-45T1□	SY3000-2-old1-e	SS5Y3-10T-□<br/>SS5Y3-12T-□<br/>SS5Y5-□10T□-□<br/>SS5Y5-□11T□-□<br/>SS5Y5-□12T□-□	1	SS5Y-2-old.jpg	SS5Y3-45T□<br/>SS5Y3-45T1□<br/>SS5Y5-45T□<br/>SS5Y5-45T1□	SS5Y-4-e	2019/12/1	SS5Y3-10T-□<br/>SS5Y3-12T-□<br/>SS5Y5-□10T□-□<br/>SS5Y5-□11T□-□<br/>SS5Y5-□12T□-□	SS5Y-2.jpg		SY5-old-e.pdf		None					SY-E
A01	VHK	VHK-old-e	Finger Valve	VHK	VHK-old1-e	VHK□A	1	VHK-old.jpg	VHK	VHK-1-e	2021/12/1	VHK□A	VHK-A.jpg		VHK-old-e.pdf		Yes					VHK-A-E
A01	EX500	EX500GDN-old-e	Serial Transmission System	GW unit <br/>(DeviceNet&reg; Compatible)<br/>    EX500-GDN1<br/>   56-EX500-GDN1-X8<br/>DeviceNet&reg; Communication Cable <br/>(Accessories Cable)<br/>    EX500-AC010-DN<br/>    EX500-AC050-DN	EX500GDN-old1-e	GW unit<br/>    EX260-SDN□<br/>    EX600-SDN<br/>DeviceNet&reg; Communication Cable<br/>   PCA-1557633	1	EX500GDN-old.jpg	GW unit <br/>(DeviceNet&reg; Compatible)<br/>    EX500-GDN1<br/>   56-EX500-GDN1-X8<br/>DeviceNet&reg; Communication Cable <br/>(Accessories Cable)<br/>    EX500-AC010-DN<br/>    EX500-AC050-DN	EX500GDN-1-e	2021/3/1	GW unit<br/>    EX260-SDN□<br/>    EX600-SDN<br/>DeviceNet&reg; Communication Cable<br/>   PCA-1557633	EX260SDN.jpg		EX500GDN-old-e.pdf		None					EX260-EN/EX600-E
A01	EX120/121/122/123U/123D/140	EX120-SUH1-old-e	SI Unit For The NKE Corp. Fieldbus H System	EX120-SUH1<br/>EX121-SUH1<br/>EX122-SUH1<br/>EX123U-SUH1<br/>EX123D-SUH1<br/>EX140-SUH1	EX120-SUH1-old1-e	-	1		EX120-SUH1<br/>EX121-SUH1<br/>EX122-SUH1<br/>EX123U-SUH1<br/>EX123D-SUH1<br/>EX140-SUH1	EX120-SUH1-1-e	2021/2/1	-			EX120-SUH1-old-e.pdf		None. Please consider switching to a different network(CC-Link etc.).					
A01	VQ4000/5000	VQ4000_5000-old-e	5 Port Solenoid Valve	VQ4000	VQ4000_5000-old1-e	VQ4000	1	VQ4000_5000-old.jpg	VQ4000	VQ4000_5000-1-e	2016/7/1	VQ4000	VQ4000_5000.jpg		VQ4000_5000-old-e.pdf		Yes （Some specifications are changed.）					VQ4000-5000-E
		VQ4000_5000-old-e	5 Port Solenoid Valve	VQ5000	VQ4000_5000-old2-e	VQ5000	2		VQ5000	VQ4000_5000-2-e	2016/7/1	VQ5000										VQ4000-5000-E
