カテゴリID	シリーズ名用(生産終了機種)	ｼﾘｰｽﾞ名用１ID	名称	枠内シリーズ１（生産終了機種）	ｼﾘｰｽﾞ１ID	シリーズ2（代替機種）	順	ｼﾘｰｽﾞ１画像名	対象型式	対象型式ID	終了年月日	代替型式	ｼﾘｰｽﾞ2画像名	カタログリンク	終了機種カタログ	生産終了機種取扱説明書	取付互換：	その他：	注意事項：	新旧比較詳細	注意事項リンク先	新ID
A01	EX600-SEN1,SEN2	EX600-old	シリアル伝送システム SIユニット	EX600-SEN1<br/>EX600-SEN2	EX600-old1	EX600-SEN3<br/>EX600-SEN4	1	EX600-old.jpg	EX600-SEN1<br/>EX600-SEN2	EX600-SEN3-1	2022/3/1	EX600-SEN3<br/>EX600-SEN4	EX600-SEN3.jpg		EX600-old.pdf		あり			EX600-SEN-comp.pdf		EX600
A01	EX120/121/122/123/140 	EX120-SSL1-old	シリアル伝送システム	EX120-SSL1/SSL2<br/>EX121-SSL1/SSL2<br/>EX122-SSL1/SSL2<br/>EX123-SSL1/SSL2<br/>EX140-SSL1/SSL2	EX120-SSL1-old1	-	1		EX120-SSL1/SSL2<br/>EX121-SSL1/SSL2<br/>EX122-SSL1/SSL2<br/>EX123-SSL1/SSL2<br/>EX140-SSL1/SSL2	EX120-SSL1-1	2018/5/1	-			EX120-180-old.pdf							
A01	EX500（GWユニット）	EX500-GW-old	シリアル伝送システム	EX500-GEN1<br/>(特注品含む)	EX500-GW-old1	EX500-GEN2	1		EX500-GEN1<br/>(特注品含む)	EX500-GW-1	2019/3/1	EX500-GEN2	EX500-GEN2.jpg				なし			EX500GEN-comp.pdf		EX500
A01	EX250-SMJ2	EX250-SMJ2-old	シリアル伝送システム/CC-Link対応 SIユニット	EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-old1	EX600-SMJ□<br/>EX260-SMJ□	1		EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-1	2019/7/1	EX600-SMJ□			EX250-old.pdf		なし			ex250-comp.pdf		EX600
		EX250-SMJ2-old			EX250-SMJ2-old1		2		EX250-SMJ2<br/>EX250-SMJ2-X105<br/>EX250-SMJ2-X110<br/>EX250-SMJ2-X113<br/>EX250-SMJ2-X126<br/>EX250-SMJ2-X135<br/>EX250-SMJ2-X148	EX250-SMJ2-2	2019/7/1	EX260-SMJ□										EX260
A01	SX3000/5000/7000	SX3000-old	5ポートソレノイドバルブ	SX3000/5000/7000<br/>フラットケーブル<br/>シリアル伝送<br/>単体サブプレート<br/>SX3000/5000/7000<br/>個別配線<br/>単体	SX3000-old1	SY3000/5000/7000<br/>プラグインタイプ<br/>SY3000/5000/7000	1	SX-old.jpg	SX3000/5000/7000<br/>フラットケーブル<br/>シリアル伝送<br/>単体サブプレート	SX3000-1	2020/5/1	SY3000/5000/7000<br/>プラグインタイプ	SY3000.jpg		sx-old.pdf		なし			SX3000-comp.pdf		SY
		SX3000-old					2		SX3000/5000/7000<br/>個別配線<br/>単体	SX3000-2	2020/5/1	SY3000/5000/7000										SY-5
A01	VKF300	VKF300-old	3ポートソレノイドバルブ／直動ポペットタイプ	VKF300	VKF300-old1	VK300	1	VKF300-old.jpg	VKF300	VKF300-1	2020/8/1	VK300	VK300.jpg		VKF300-old.pdf		なし			VKF300-comp.pdf		VK
A01	SY3000/5000	SY3000-2-old	5ポートソレノイドバルブ	SS5Y3-45T□<br/>SS5Y3-45T1□<br/>SS5Y5-45T□<br/>SS5Y5-45T1□	SY3000-2-old1	SS5Y3-10T-□<br/>SS5Y3-12T-□<br/>SS5Y5-□10T□-□<br/>SS5Y5-□11T□-□<br/>SS5Y5-□12T□-□	1	SS5Y-2-old.jpg	SS5Y3-45T□<br/>SS5Y3-45T1□<br/>SS5Y5-45T□<br/>SS5Y5-45T1□	SS5Y-4	2019/12/1	SS5Y3-10T-□<br/>SS5Y3-12T-□<br/>SS5Y5-□10T□-□<br/>SS5Y5-□11T□-□<br/>SS5Y5-□12T□-□	SS5Y-2.jpg		SY5-old.pdf		なし					SY
A01	VHK	VHK-old	フィンガバルブ	VHK	VHK-old1	VHK□A	1	VHK-old.jpg	VHK	VHK-1	2021/12/1	VHK□A	VHK-A.jpg		VHK-old.pdf		あり			VHK-comp.pdf		VHK-A
A01	EX500	EX500GDN-old	シリアル伝送システム	GWユニット<br/>(DeviceNet&reg;対応)<br/>    EX500-GDN1<br/>   56-EX500-GDN1-X8<br/>DeviceNet&reg;通信用ケーブル <br/>(アクセサリケーブル)<br/>    EX500-AC010-DN<br/>    EX500-AC050-DN	EX500GDN-old1	GWユニット<br/>    EX260-SDN□<br/>    EX600-SDN<br/>DeviceNet&reg;通信用ケーブル<br/>   PCA-1557633	1	EX500GDN-old.jpg	GWユニット<br/>(DeviceNet&reg;対応)<br/>    EX500-GDN1<br/>   56-EX500-GDN1-X8<br/>DeviceNet&reg;通信用ケーブル <br/>(アクセサリケーブル)<br/>    EX500-AC010-DN<br/>    EX500-AC050-DN	EX500GDN-1	2021/3/1	GWユニット<br/>    EX260-SDN□<br/>    EX600-SDN<br/>DeviceNet&reg;通信用ケーブル<br/>   PCA-1557633	EX260SDN.jpg		EX500GDN-old.pdf		なし			EX500GDN-comp.pdf		EX260/EX600
A01	EX120/121/122/123U/123D/140	EX120-SUH1-old	フィールドバスNKE(株)製省配線H システム対応SI ユニット	EX120-SUH1<br/>EX121-SUH1<br/>EX122-SUH1<br/>EX123U-SUH1<br/>EX123D-SUH1<br/>EX140-SUH1	EX120-SUH1-old1	-	1		EX120-SUH1<br/>EX121-SUH1<br/>EX122-SUH1<br/>EX123U-SUH1<br/>EX123D-SUH1<br/>EX140-SUH1	EX120-SUH1-1	2021/2/1	-			EX120-SUH1-old.pdf		なし (他ネットワーク(CC-Link 等)への切換えをご検討お願いいたします。)					
A01	VQ4000/5000	VQ4000_5000-old	5ポートソレノイドバルブ	VQ4000<br/>VQ5000	VQ4000_5000-old1	VQ4000<br/>VQ5000	1	VQ4000_5000-old.jpg	VQ4000	VQ4000_5000-1	2016/7/1	VQ4000	VQ4000_5000.jpg		VQ4000_5000-old.pdf		あり（仕様に変更があります）			VQ-comp.pdf		VQ4000-5000
		VQ4000_5000-old			VQ4000_5000-old1		2		VQ5000	VQ4000_5000-2	2016/7/1	VQ5000										VQ4000-5000
A01	VQC4000	VQC4000-old	5ポートソレノイドバルブ	VQC4000	VQC4000-old1	VQC4000	1	VQC4000-old.jpg	VQC4000	VQC4000-1	2016/7/1	VQC4000	VQC4000.jpg		VQC4000-old.pdf		あり（仕様に変更があります）			VQ-comp.pdf		VQC4000-5000
A01	VF1000/3000/5000	VF-old	5ポートソレノイドバルブ	VF1000/3000/5000	VF-old1	VF1000/3000/5000	1	VF-old.jpg	VF1000/3000/5000	VF-1	2009/11/1	VF1000/3000/5000	VF.jpg		vf1000-5000.pdf		あり			vf.pdf		VF
A01	VQ1000/2000	VQ-old	5ポートソレノイドバルブ	VQ1000/2000	VQ-old1	VQ1000/2000	1	VQ-old.jpg	VQ1000/2000	VQ-1	2009/7/1	VQ1000/2000	VQ.jpg		VQ1000-2000.pdf		あり			VQ_VQC1000-2000.pdf		VQ
A01	VQC1000/2000	VQC-old	5ポートソレノイドバルブ	VQC1000/2000	VQC-old1	VQC1000/2000	1	VQC-old.jpg	VQC1000/2000	VQC-1	2009/7/1	VQC1000/2000	VQC.jpg		VQC1000-2000.pdf		あり			VQ_VQC1000-2000.pdf		VQC
A01	VQZ	VQZ-old	3/5ポートソレノイドバルブ	VQZ	VQZ-old1	VQZ	1	VQZ-old.jpg	VQZ1000/2000/3000	VQZ-1	2007/6/1	VQZ1000/2000/3000	VQZ.jpg		VQZ100-3000.pdf		あり			vqz_vqz.pdf		VQZ
		VQZ-old			VQZ-old1		2		VQZ100/200/300	VQZ-2	2007/6/1	VQZ100/200/300										VQZ-3
A01	SQ1000/2000	SQ-old	5ポートソレノイドバルブ	SQ1000/2000	SQ-old1	SQ1000/2000	1	SQ-old.jpg	SQ1000	SQ-1	2013/7/1	SQ1000	SQ.jpg		sq1000-2000_old.pdf		あり			sq1000-2000-comp.pdf		SQ
		SQ-old			SQ-old1		2		SQ2000	SQ-2	2013/7/1	SQ2000										SQ
